true_class,01_opishnyan_ceramics,02_ornek,03_bubnivka_ceramics,04_petrykivka_painting,05_kosiv_ceramics
01_opishnyan_ceramics,418,8,58,0,17
02_ornek,2,433,2,0,2
03_bubnivka_ceramics,11,3,198,0,1
04_petrykivka_painting,1,4,0,253,2
05_kosiv_ceramics,1,2,2,1,274
