representation,metric_status,c_value,diagnostic_only,train_examples,validation_examples,iterations,max_iterations,converged,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
dinov3_vits16__cls_patch_concat__global_fivecrop,diagnostic_production_holdout,1.0,True,1369,324,29,3000,True,0.8858024691358025,0.9057959866220736,0.8851470105233604,0.9057959866220736,0.886546149475844,0.9969135802469136
dinov3_vits16__cls_patch_concat__global_fivecrop,diagnostic_production_holdout,10.0,True,1369,324,51,3000,True,0.9166666666666666,0.9363010033444816,0.9154144355198571,0.9363010033444816,0.9182708412564129,0.9969135802469136
dinov3_vits16__cls_patch_concat__letterbox,diagnostic_production_holdout,0.01,True,1369,324,7,3000,True,0.7438271604938271,0.7504046822742475,0.7333042342057852,0.7504046822742475,0.7274895496587452,0.9783950617283951
dinov3_vits16__cls_patch_concat__letterbox,diagnostic_production_holdout,0.1,True,1369,324,19,3000,True,0.8302469135802469,0.8366176142697881,0.8256829834160342,0.8366176142697881,0.823416600607145,0.9907407407407407
dinov3_vits16__cls_patch_concat__letterbox,diagnostic_production_holdout,1.0,True,1369,324,30,3000,True,0.9228395061728395,0.9195217391304347,0.9210799941711272,0.9195217391304347,0.9173551488693118,1.0
dinov3_vits16__cls_patch_concat__letterbox,diagnostic_production_holdout,10.0,True,1369,324,40,3000,True,0.9506172839506173,0.9463745819397994,0.9498237227001957,0.9463745819397994,0.947212588152502,1.0
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,0.01,True,1369,324,8,3000,True,0.7037037037037037,0.6994927536231884,0.7114098902838559,0.6994927536231884,0.6747846250717374,0.9660493827160493
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,0.1,True,1369,324,22,3000,True,0.7654320987654321,0.7744749163879598,0.7825213032581454,0.7744749163879598,0.7607988529761822,0.9598765432098766
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,1.0,True,1369,324,39,3000,True,0.8395061728395061,0.8642396878483835,0.8480287756031464,0.8642396878483835,0.8408762702193251,0.9814814814814815
dinov3_vits16__patch_mean__center_crop,diagnostic_production_holdout,10.0,True,1369,324,62,3000,True,0.8827160493827161,0.9055027870680045,0.8812542696403456,0.9055027870680045,0.8843429991664331,0.9814814814814815
dinov3_vits16__patch_mean__global_fivecrop,diagnostic_production_holdout,0.01,True,1369,324,8,3000,True,0.7839506172839507,0.7525585284280936,0.7719658975444913,0.7525585284280936,0.7320591219541744,0.9783950617283951
dinov3_vits16__patch_mean__global_fivecrop,diagnostic_production_holdout,0.1,True,1369,324,17,3000,True,0.8024691358024691,0.7933979933110368,0.7944281500345574,0.7933979933110368,0.7850951418435537,0.9753086419753086
dinov3_vits16__patch_mean__global_fivecrop,diagnostic_production_holdout,1.0,True,1369,324,38,3000,True,0.8796296296296297,0.887108138238573,0.878090753060327,0.887108138238573,0.8732882014352725,0.9907407407407407
dinov3_vits16__patch_mean__global_fivecrop,diagnostic_production_holdout,10.0,True,1369,324,58,3000,True,0.904320987654321,0.911690078037904,0.900762836137368,0.911690078037904,0.9002810938895772,0.9969135802469136
dinov3_vits16__patch_mean__letterbox,diagnostic_production_holdout,0.01,True,1369,324,7,3000,True,0.7345679012345679,0.6939041248606467,0.7022845084361429,0.6939041248606467,0.6731955817812258,0.9598765432098766
dinov3_vits16__patch_mean__letterbox,diagnostic_production_holdout,0.1,True,1369,324,21,3000,True,0.7993827160493827,0.7644247491638796,0.7777531394594963,0.7644247491638796,0.7630834254792083,0.9598765432098766
dinov3_vits16__patch_mean__letterbox,diagnostic_production_holdout,1.0,True,1369,324,38,3000,True,0.9012345679012346,0.8844459308807135,0.9011321948134092,0.8844459308807135,0.885288594517125,0.9783950617283951
dinov3_vits16__patch_mean__letterbox,diagnostic_production_holdout,10.0,True,1369,324,59,3000,True,0.9259259259259259,0.9120936454849499,0.9288034949660174,0.9120936454849499,0.9167328584591938,0.9938271604938271
mobilenetv3_large__model_pool__center_crop,diagnostic_production_holdout,0.01,True,1369,324,7,3000,True,0.6975308641975309,0.7136978818283166,0.7232106782106781,0.7136978818283166,0.6952895098973219,0.9475308641975309
mobilenetv3_large__model_pool__center_crop,diagnostic_production_holdout,0.1,True,1369,324,15,3000,True,0.7561728395061729,0.7829509476031214,0.7705191892867949,0.7829509476031214,0.7611594575689884,0.9537037037037037
mobilenetv3_large__model_pool__center_crop,diagnostic_production_holdout,1.0,True,1369,324,32,3000,True,0.845679012345679,0.8624960981047938,0.8458771156851661,0.8624960981047938,0.8460408419332797,0.9814814814814815
mobilenetv3_large__model_pool__center_crop,diagnostic_production_holdout,10.0,True,1369,324,51,3000,True,0.8765432098765432,0.8938506131549611,0.8706381403135968,0.8938506131549611,0.8777093011986732,0.9876543209876543
