representation,encoder_alias,model_id,model_source,license,weight_sha256,model_revision,model_config_sha256,pretrained_config_sha256,preprocessor_config_sha256,parameter_count,view_mode,views_per_image,effective_batch_size,pooling,embedding_dimension,input_policy_json,execution_identity_json,cache_identity_json,nondeterministic_extraction_seconds,nondeterministic_images_per_second,embedding_fingerprint_sha256,experiment_version,script_sha256,extraction_runtime_json
clip_vit_b32__model_pool__center_crop,clip_vit_b32,vit_base_patch32_clip_quickgelu_224.openai,timm/vit_base_patch32_clip_224.openai,Upstream model card/license review required before deployment,bd41409c7f2bb021cd96142f3a490caa78494cf4ec7f245d916bc33641a80d09,a6f597a30f7b82c51704746581f9a4e41421e878,ea935bab6568cb3925f1c50cf27cf6924656aa92655875979766df08f268a909,ec0ab5e78362173b123d994b60bee030015a211f43ee6ab7758c45313c499a5d,e18ee3a1b6417ae26e997c752cbf6c74ddd53a1238ee3b80111986040ee41c96,87456000,center_crop,1,16,model_pool,768,"{""crop_mode"":""center"",""crop_pct"":0.9,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.48145466,0.4578275,0.40821073],""resize_short_side"":248,""source"":""timm.get_pretrained_cfg(model_name)"",""std"":[0.26862954,0.26130258,0.27577711]}","{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8}","{""data_fingerprint"":""39c195336191e36a9a9a2c1cd8edec5160a68fe99366910b4d09c47e1c20024d"",""encoder_alias"":""clip_vit_b32"",""execution"":{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8},""experiment_version"":""frozen_pretrained_views_v2"",""extraction_runtime"":{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""},""input_policy"":{""crop_mode"":""center"",""crop_pct"":0.9,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.48145466,0.4578275,0.40821073],""resize_short_side"":248,""source"":""timm.get_pretrained_cfg(model_name)"",""std"":[0.26862954,0.26130258,0.27577711]},""model_provenance"":{""model_config_sha256"":""ea935bab6568cb3925f1c50cf27cf6924656aa92655875979766df08f268a909"",""model_source"":""timm/vit_base_patch32_clip_224.openai"",""preprocessor_config_sha256"":""e18ee3a1b6417ae26e997c752cbf6c74ddd53a1238ee3b80111986040ee41c96"",""pretrained_config_sha256"":""ec0ab5e78362173b123d994b60bee030015a211f43ee6ab7758c45313c499a5d"",""revision"":""a6f597a30f7b82c51704746581f9a4e41421e878"",""weight_sha256"":""bd41409c7f2bb021cd96142f3a490caa78494cf4ec7f245d916bc33641a80d09""},""script_sha256"":""f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054"",""view_mode"":""center_crop""}",46.70849533300009,36.246083029008986,8f24f4feedc5756da368ce6630fe0457bafb930a8c2892d193fd050a7fd6be36,frozen_pretrained_views_v2,f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054,"{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""}"
convnext_tiny_in22k__model_pool__center_crop,convnext_tiny_in22k,convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,Upstream model card/license review required before deployment,77b619e187de71bce58721689da0c009e84cc20677293d7d43105307e34d868a,bc48a87f119bae1b06418f5340bfa97ef75d4609,406bc5f9052434cb83e5137d997c43486f5d4e79504a3008e40397684b936b00,c6c79c9d4bce1b3275dccda0b9ed91d2561916e0b02a1d845b4d362c86d2be5c,27003034d23fe22d4bed76adf60d48cd318b0bddf819873544b0855372bb768d,27820128,center_crop,1,16,model_pool,768,"{""crop_mode"":""center"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""timm.get_pretrained_cfg(model_name)"",""std"":[0.229,0.224,0.225]}","{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8}","{""data_fingerprint"":""39c195336191e36a9a9a2c1cd8edec5160a68fe99366910b4d09c47e1c20024d"",""encoder_alias"":""convnext_tiny_in22k"",""execution"":{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8},""experiment_version"":""frozen_pretrained_views_v2"",""extraction_runtime"":{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""},""input_policy"":{""crop_mode"":""center"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""timm.get_pretrained_cfg(model_name)"",""std"":[0.229,0.224,0.225]},""model_provenance"":{""model_config_sha256"":""406bc5f9052434cb83e5137d997c43486f5d4e79504a3008e40397684b936b00"",""model_source"":""timm/convnext_tiny.fb_in22k_ft_in1k"",""preprocessor_config_sha256"":""27003034d23fe22d4bed76adf60d48cd318b0bddf819873544b0855372bb768d"",""pretrained_config_sha256"":""c6c79c9d4bce1b3275dccda0b9ed91d2561916e0b02a1d845b4d362c86d2be5c"",""revision"":""bc48a87f119bae1b06418f5340bfa97ef75d4609"",""weight_sha256"":""77b619e187de71bce58721689da0c009e84cc20677293d7d43105307e34d868a""},""script_sha256"":""f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054"",""view_mode"":""center_crop""}",178.253893834,9.497688738158036,456ec1a93e9009d70d05fca35cc7384b19daf7b945abf82c475e073de7ff90be,frozen_pretrained_views_v2,f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054,"{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""}"
dinov2_small_reg4__model_pool__center_crop,dinov2_small_reg4,vit_small_patch14_reg4_dinov2.lvd142m,timm/vit_small_patch14_reg4_dinov2.lvd142m,Upstream model card/license review required before deployment,dca70548ecd7b03ffba6172c4db403014511b5ee6073f9fca72ba9e6e602a25d,c04b5193082a8d5b0c4856c7937384a48136c5de,e84070ceec2124be060ee9ebfcc2b8f4ea27149c8ae61bef0f4df3a8441204ec,3f824a8b627317318e3f1506e38369910ae4178eb09d7eb68480f1e9c890af02,5f8fc3c32c111947b7bbb8ea63e6d7d8ac67950ecbe6eaee10155a2c8b4d32a0,22057344,center_crop,1,1,model_pool,384,"{""crop_mode"":""center"",""crop_pct"":1.0,""input_size"":518,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":518,""source"":""timm.get_pretrained_cfg(model_name)"",""std"":[0.229,0.224,0.225]}","{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8}","{""data_fingerprint"":""39c195336191e36a9a9a2c1cd8edec5160a68fe99366910b4d09c47e1c20024d"",""encoder_alias"":""dinov2_small_reg4"",""execution"":{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8},""experiment_version"":""frozen_pretrained_views_v2"",""extraction_runtime"":{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""},""input_policy"":{""crop_mode"":""center"",""crop_pct"":1.0,""input_size"":518,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":518,""source"":""timm.get_pretrained_cfg(model_name)"",""std"":[0.229,0.224,0.225]},""model_provenance"":{""model_config_sha256"":""e84070ceec2124be060ee9ebfcc2b8f4ea27149c8ae61bef0f4df3a8441204ec"",""model_source"":""timm/vit_small_patch14_reg4_dinov2.lvd142m"",""preprocessor_config_sha256"":""5f8fc3c32c111947b7bbb8ea63e6d7d8ac67950ecbe6eaee10155a2c8b4d32a0"",""pretrained_config_sha256"":""3f824a8b627317318e3f1506e38369910ae4178eb09d7eb68480f1e9c890af02"",""revision"":""c04b5193082a8d5b0c4856c7937384a48136c5de"",""weight_sha256"":""dca70548ecd7b03ffba6172c4db403014511b5ee6073f9fca72ba9e6e602a25d""},""script_sha256"":""f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054"",""view_mode"":""center_crop""}",269.77711066699993,6.275550938380976,3dd88d11dc93c06947fd9a6556eb1b9dd3832bebf405ed18daa867bff9d0456f,frozen_pretrained_views_v2,f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054,"{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""}"
dinov3_vits16__cls__center_crop,dinov3_vits16,facebook/dinov3-vits16-pretrain-lvd1689m,facebook/dinov3-vits16-pretrain-lvd1689m,DINOv3 License (custom; deployment review required),4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d,114c1379950215c8b35dfcd4e90a5c251dde0d32,9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b,,960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7,21596544,center_crop,1,16,cls,384,"{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]}","{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8}","{""data_fingerprint"":""39c195336191e36a9a9a2c1cd8edec5160a68fe99366910b4d09c47e1c20024d"",""encoder_alias"":""dinov3_vits16"",""execution"":{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8},""experiment_version"":""frozen_pretrained_views_v2"",""extraction_runtime"":{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""},""input_policy"":{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]},""model_provenance"":{""model_config_sha256"":""9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b"",""model_source"":""facebook/dinov3-vits16-pretrain-lvd1689m"",""preprocessor_config_sha256"":""960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7"",""revision"":""114c1379950215c8b35dfcd4e90a5c251dde0d32"",""weight_sha256"":""4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d""},""script_sha256"":""f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054"",""view_mode"":""center_crop""}",56.318137209,30.061363601519258,a6de7aa2fa2137dd71e36d004adfff0ddf2abd85aae7b19478efb3bd5cdb080a,frozen_pretrained_views_v2,f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054,"{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""}"
dinov3_vits16__cls__global_fivecrop,dinov3_vits16,facebook/dinov3-vits16-pretrain-lvd1689m,facebook/dinov3-vits16-pretrain-lvd1689m,DINOv3 License (custom; deployment review required),4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d,114c1379950215c8b35dfcd4e90a5c251dde0d32,9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b,,960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7,21596544,global_fivecrop,6,16,cls,384,"{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]}","{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8}","{""data_fingerprint"":""39c195336191e36a9a9a2c1cd8edec5160a68fe99366910b4d09c47e1c20024d"",""encoder_alias"":""dinov3_vits16"",""execution"":{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8},""experiment_version"":""frozen_pretrained_views_v2"",""extraction_runtime"":{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""},""input_policy"":{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]},""model_provenance"":{""model_config_sha256"":""9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b"",""model_source"":""facebook/dinov3-vits16-pretrain-lvd1689m"",""preprocessor_config_sha256"":""960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7"",""revision"":""114c1379950215c8b35dfcd4e90a5c251dde0d32"",""weight_sha256"":""4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d""},""script_sha256"":""f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054"",""view_mode"":""global_fivecrop""}",194.897722416,8.686607411380475,2783a020edd6f819e2d9530ae635e786fde7618e3c96244b1ef78fc49f927722,frozen_pretrained_views_v2,f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054,"{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""}"
dinov3_vits16__cls__letterbox,dinov3_vits16,facebook/dinov3-vits16-pretrain-lvd1689m,facebook/dinov3-vits16-pretrain-lvd1689m,DINOv3 License (custom; deployment review required),4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d,114c1379950215c8b35dfcd4e90a5c251dde0d32,9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b,,960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7,21596544,letterbox,1,16,cls,384,"{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]}","{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8}","{""data_fingerprint"":""39c195336191e36a9a9a2c1cd8edec5160a68fe99366910b4d09c47e1c20024d"",""encoder_alias"":""dinov3_vits16"",""execution"":{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8},""experiment_version"":""frozen_pretrained_views_v2"",""extraction_runtime"":{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""},""input_policy"":{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]},""model_provenance"":{""model_config_sha256"":""9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b"",""model_source"":""facebook/dinov3-vits16-pretrain-lvd1689m"",""preprocessor_config_sha256"":""960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7"",""revision"":""114c1379950215c8b35dfcd4e90a5c251dde0d32"",""weight_sha256"":""4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d""},""script_sha256"":""f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054"",""view_mode"":""letterbox""}",55.74283450000001,30.3716166424942,443acf6c3b85afd5042f78daa35c426f7f4d36058ab3080de8d7ea55bd1d3faa,frozen_pretrained_views_v2,f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054,"{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""}"
dinov3_vits16__cls_patch_concat__center_crop,dinov3_vits16,facebook/dinov3-vits16-pretrain-lvd1689m,facebook/dinov3-vits16-pretrain-lvd1689m,DINOv3 License (custom; deployment review required),4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d,114c1379950215c8b35dfcd4e90a5c251dde0d32,9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b,,960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7,21596544,center_crop,1,16,cls_patch_concat,768,"{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]}","{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8}","{""data_fingerprint"":""39c195336191e36a9a9a2c1cd8edec5160a68fe99366910b4d09c47e1c20024d"",""encoder_alias"":""dinov3_vits16"",""execution"":{""determinism"":{""device"":""cpu"",""numpy_seed"":20260719,""requested"":true,""scope"":""Deterministic execution is asserted for this CPU/runtime; bitwise identity is not claimed across different architectures or library builds."",""sklearn_blas_threads_during_fit"":1,""torch_deterministic_algorithms"":true,""torch_deterministic_warn_only"":false,""torch_float32_matmul_precision"":""highest"",""torch_interop_threads"":1,""torch_seed"":20260719,""torch_threads"":8},""device"":""cpu"",""effective_batch_size_by_input"":{""224"":16,""518"":1},""platform"":{""architecture"":""64bit"",""machine"":""arm64"",""processor"":""arm"",""python_implementation"":""CPython"",""release"":""24.6.0"",""system"":""Darwin""},""requested_batch_size"":16,""threads"":8},""experiment_version"":""frozen_pretrained_views_v2"",""extraction_runtime"":{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""},""input_policy"":{""crop_mode"":""project_multiview"",""crop_pct"":0.875,""input_size"":224,""interpolation"":""bicubic"",""mean"":[0.485,0.456,0.406],""resize_short_side"":256,""source"":""project DINOv3 multi-view policy; native normalization and input size"",""std"":[0.229,0.224,0.225]},""model_provenance"":{""model_config_sha256"":""9481247be9f95a134a5599402b4bfc838eecdf9a7fffbf4debd1c70ec213898b"",""model_source"":""facebook/dinov3-vits16-pretrain-lvd1689m"",""preprocessor_config_sha256"":""960c41d1f3a7778b936365769a2d90550b318a6c0a53a0296957adacfe5e0dd7"",""revision"":""114c1379950215c8b35dfcd4e90a5c251dde0d32"",""weight_sha256"":""4610ad75edef83e75afdebf162d148dc628045ea6cbb83d67d4708c709c4f91d""},""script_sha256"":""f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054"",""view_mode"":""center_crop""}",56.318137209,30.061363601519258,a6de7aa2fa2137dd71e36d004adfff0ddf2abd85aae7b19478efb3bd5cdb080a,frozen_pretrained_views_v2,f4a21694359c355c0adeae46cbe19559703a005449772c06f6dd75730ca7b054,"{""Pillow"":""11.3.0"",""numpy"":""2.0.2"",""python"":""3.9.6"",""timm"":""1.0.26"",""torch"":""2.8.0"",""transformers"":""4.57.6""}"
