representation,metric_status,c_value,cv_fold,train_examples,validation_examples,iterations,max_iterations,converged,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,1,1449,244,47,3000,True,0.9713114754098361,0.9073376623376623,0.9287339303770041,0.9073376623376623,0.916123780004059,0.9918032786885246
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,2,1423,270,53,3000,True,0.9629629629629629,0.961512980642763,0.9598204692752921,0.961512980642763,0.9597860025946613,1.0
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,3,1351,342,50,3000,True,0.868421052631579,0.8808774558774559,0.8614990557150923,0.8808774558774559,0.8645700829314645,0.9883040935672515
dinov3_vits16__cls_patch_concat__center_crop,exploratory_candidate_cv,10.0,4,1356,337,41,3000,True,0.8308605341246291,0.8801385625868384,0.8503180536428617,0.8801385625868384,0.8312679759282051,0.9881305637982196
dinov3_vits16__cls_patch_concat__global_fivecrop,exploratory_candidate_cv,10.0,0,1193,500,48,3000,True,0.98,0.9592579945226296,0.9766000297397397,0.9592579945226296,0.9667773559122137,0.998
dinov3_vits16__cls_patch_concat__global_fivecrop,exploratory_candidate_cv,10.0,1,1449,244,54,3000,True,0.9713114754098361,0.9070629370629371,0.9260821716801173,0.9070629370629371,0.9143427621511065,0.9918032786885246
dinov3_vits16__cls_patch_concat__global_fivecrop,exploratory_candidate_cv,10.0,2,1423,270,56,3000,True,0.9777777777777777,0.9745557518250691,0.9725279106858054,0.9745557518250691,0.9732138858792782,1.0
dinov3_vits16__cls_patch_concat__global_fivecrop,exploratory_candidate_cv,10.0,3,1351,342,50,3000,True,0.8976608187134503,0.9055111555111555,0.8895045909006372,0.9055111555111555,0.8930916318830084,0.9941520467836257
dinov3_vits16__cls_patch_concat__global_fivecrop,exploratory_candidate_cv,10.0,4,1356,337,40,3000,True,0.8011869436201781,0.8604374131615511,0.8321649801854487,0.8604374131615511,0.7984193861128236,0.9762611275964391
dinov3_vits16__cls_patch_concat__letterbox,exploratory_candidate_cv,10.0,0,1193,500,58,3000,True,0.964,0.9289650316715272,0.9591528817765562,0.9289650316715272,0.9414693276363106,1.0
dinov3_vits16__cls_patch_concat__letterbox,exploratory_candidate_cv,10.0,1,1449,244,52,3000,True,0.9713114754098361,0.8693356643356644,0.9110677219529769,0.8693356643356644,0.8832102063142268,0.9877049180327869
dinov3_vits16__cls_patch_concat__letterbox,exploratory_candidate_cv,10.0,2,1423,270,46,3000,True,0.9666666666666667,0.9677375700068873,0.9661821705426357,0.9677375700068873,0.9665311588311253,1.0
dinov3_vits16__cls_patch_concat__letterbox,exploratory_candidate_cv,10.0,3,1351,342,47,3000,True,0.9385964912280702,0.9377622377622379,0.9353218770152878,0.9377622377622379,0.9358995377331167,0.9970760233918129
dinov3_vits16__cls_patch_concat__letterbox,exploratory_candidate_cv,10.0,4,1356,337,49,3000,True,0.771513353115727,0.8333421750663129,0.7977429830371008,0.8333421750663129,0.7655897826403786,0.9703264094955489
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,0,1193,500,62,3000,True,0.972,0.9386532072578584,0.9729483282674772,0.9386532072578584,0.9524221445765031,0.998
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,1,1449,244,66,3000,True,0.9631147540983607,0.8999200799200799,0.8793170911775563,0.8999200799200799,0.8885642981056439,0.9918032786885246
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,2,1423,270,62,3000,True,0.937037037037037,0.9370352078529123,0.9336114911080712,0.9370352078529123,0.9344257063068945,0.9925925925925926
