dimension,value,image_count,correct_count,error_count,accuracy,mean_uncalibrated_max_probability
cv_fold,0,500,491,9,0.982,0.9296713551477015
cv_fold,1,244,240,4,0.9836065573770492,0.9544332227767138
cv_fold,2,270,263,7,0.9740740740740741,0.9466615417432912
cv_fold,3,342,304,38,0.8888888888888888,0.9192945591764646
cv_fold,4,337,305,32,0.9050445103857567,0.8786974764405071
named_source_cohort,src_global_bub_blue_fair_table,10,10,0,1.0,0.9760726582720229
named_source_cohort,src_global_bub_dark_cloth_closeups,13,13,0,1.0,0.9734746214817255
named_source_cohort,src_global_bub_fair_vendor_a,23,23,0,1.0,0.9773629342197764
named_source_cohort,src_global_bub_leaf_stump,7,7,0,1.0,0.9974613282823259
named_source_cohort,src_global_bub_mesh_plate_pairs,10,7,3,0.7,0.8487621349312937
named_source_cohort,src_global_bub_museum_interior,30,20,10,0.6666666666666666,0.8754774164598916
named_source_cohort,src_global_bub_vognik_watermark,33,33,0,1.0,0.9498694812238174
named_source_cohort,src_global_kos_huclia_watermark,6,6,0,1.0,0.9287833435364622
named_source_cohort,src_global_kos_museum_emblem,5,5,0,1.0,0.9776754537664628
named_source_cohort,src_global_kos_shop_camera_series,23,22,1,0.9565217391304348,0.9212728741466149
named_source_cohort,src_global_kos_textile_archive,26,26,0,1.0,0.9110703959234439
named_source_cohort,src_global_opn_gray_catalog_b,104,82,22,0.7884615384615384,0.853074272161252
named_source_cohort,src_global_opn_museum_display_logo,31,31,0,1.0,0.9378959160522657
named_source_cohort,src_global_opn_roundmark_catalog,261,257,4,0.9846743295019157,0.926989225798561
named_source_cohort,src_global_opn_shelf_figurines,38,26,12,0.6842105263157895,0.7096438356508781
named_source_cohort,src_global_opn_shop_cubbies,42,32,10,0.7619047619047619,0.6712700927751093
named_source_cohort,src_global_pet_gold_x_watermark,18,15,3,0.8333333333333334,0.8914747720320406
object_type,box_or_container,38,36,2,0.9473684210526315,0.8575960286230284
object_type,cup_or_mug,54,53,1,0.9814814814814815,0.9245718387116412
object_type,figurine_or_sculpture,115,105,10,0.9130434782608695,0.8876824867428306
object_type,mixed_display_or_collection,29,22,7,0.7586206896551724,0.7107164207458976
object_type,other,14,13,1,0.9285714285714286,0.8237133032131763
object_type,painting_print_or_panel,3,3,0,1.0,0.9877568149474808
object_type,plate_or_bowl,38,31,7,0.8157894736842105,0.8423543347844953
object_type,textile_or_rug,4,4,0,1.0,0.9852667273330196
object_type,unreviewed,1345,1284,61,0.9546468401486989,0.9367103297825171
object_type,vase_jug_or_vessel,53,52,1,0.9811320754716981,0.9114116333442219
motif_visibility,clear,329,306,23,0.9300911854103343,0.8772291332051505
motif_visibility,partial,12,7,5,0.5833333333333334,0.7762506730941916
motif_visibility,small,7,6,1,0.8571428571428571,0.8624289345355795
motif_visibility,unreviewed,1345,1284,61,0.9546468401486989,0.9367103297825171
contract_slice,hard_three_opishnyan_pooled,184,140,44,0.7608695652173914,0.7819539888916205
contract_slice,challenging_opishnyan,209,155,54,0.7416267942583732,0.7817949736925972
contract_slice,large_named_sources_pooled,611,552,59,0.9034369885433715,0.8835760467229493
