evaluation_scope,class_index,class_name,precision,recall,f1,support
nested_outer_oof_v4,0,01_opishnyan_ceramics,0.9568034557235421,0.8842315369261478,0.9190871369294605,501
nested_outer_oof_v4,1,02_ornek,0.9753363228699552,0.9908883826879271,0.9830508474576272,439
nested_outer_oof_v4,2,03_bubnivka_ceramics,0.8109243697478992,0.9061032863849765,0.8558758314855875,213
nested_outer_oof_v4,3,04_petrykivka_painting,0.9922178988326849,0.9807692307692307,0.9864603481624759,260
nested_outer_oof_v4,4,05_kosiv_ceramics,0.9584775086505191,0.9892857142857143,0.9736379613356766,280
