true_class,01_opishnyan_ceramics,02_ornek,03_bubnivka_ceramics,04_petrykivka_painting,05_kosiv_ceramics
01_opishnyan_ceramics,399,51,14,11,26
02_ornek,20,291,19,57,52
03_bubnivka_ceramics,20,68,74,30,21
04_petrykivka_painting,4,36,7,189,24
05_kosiv_ceramics,40,76,17,28,119
