class_index,class_name,precision,recall,f1,support
0,01_opishnyan_ceramics,0.8260869565217391,0.7964071856287425,0.8109756097560976,501
1,02_ornek,0.5574712643678161,0.662870159453303,0.6056191467221644,439
2,03_bubnivka_ceramics,0.5648854961832062,0.3474178403755869,0.43023255813953487,213
3,04_petrykivka_painting,0.6,0.7269230769230769,0.6573913043478261,260
4,05_kosiv_ceramics,0.49173553719008267,0.425,0.4559386973180077,280
