model_name,feature_name,cv_fold,train_examples,validation_examples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
linear_svm,color,0,1193,500,0.658,0.5738891421329272,0.5751615332325398,0.5738891421329272,0.5728191186821892,0.912
linear_svm,color,1,1449,244,0.6352459016393442,0.5747936946774155,0.555405056759546,0.5747936946774155,0.5533653760569648,0.9426229508196722
linear_svm,color,2,1423,270,0.6074074074074074,0.6289522555464041,0.6029958355827729,0.6289522555464041,0.6117573157360028,0.9259259259259259
linear_svm,color,3,1351,342,0.5584795321637427,0.529079254079254,0.5300206123652452,0.529079254079254,0.5279957510726742,0.8742690058479532
linear_svm,color,4,1356,337,0.49258160237388726,0.5499882531261842,0.5308447780861574,0.5499882531261842,0.49753636522330835,0.798219584569733
logistic_regression,all,0,1193,500,0.724,0.596133853671945,0.6382719531725174,0.596133853671945,0.6006455980158982,0.954
logistic_regression,all,1,1449,244,0.6311475409836066,0.5921715493808517,0.562799163542324,0.5921715493808517,0.5605909660054003,0.9508196721311475
logistic_regression,all,2,1423,270,0.6111111111111112,0.5871625186516409,0.6384136941082584,0.5871625186516409,0.5996406323006087,0.9222222222222223
logistic_regression,all,3,1351,342,0.6228070175438597,0.5693889443889444,0.5880729003935338,0.5693889443889444,0.5750986237346787,0.9269005847953217
logistic_regression,all,4,1356,337,0.4658753709198813,0.5199431602879878,0.49073315091221603,0.5199431602879878,0.4523476766596441,0.8189910979228486
knn_cosine_k3,all,0,1193,500,0.782,0.6202307427046801,0.6651100708872122,0.6202307427046801,0.6361747119655806,0.93
knn_cosine_k3,all,1,1449,244,0.6024590163934426,0.5547299212415492,0.5366515753008729,0.5547299212415492,0.5232366912366911,0.8975409836065574
knn_cosine_k3,all,2,1423,270,0.5407407407407407,0.4861667964443658,0.4872546656532175,0.4861667964443658,0.47617266285829907,0.825925925925926
knn_cosine_k3,all,3,1351,342,0.6198830409356725,0.564935064935065,0.567802514945372,0.564935064935065,0.5648946780386889,0.8596491228070176
knn_cosine_k3,all,4,1356,337,0.47774480712166173,0.4876223316912972,0.500890505984169,0.4876223316912972,0.46565811921183214,0.7655786350148368
knn_cosine_k5,all,0,1193,500,0.782,0.611210692986956,0.6726560502989074,0.611210692986956,0.6260838291852313,0.934
knn_cosine_k5,all,1,1449,244,0.6147540983606558,0.5613848941755919,0.5653442265795208,0.5613848941755919,0.5369842037395228,0.9139344262295082
knn_cosine_k5,all,2,1423,270,0.5555555555555556,0.5081248458967889,0.5169406168251669,0.5081248458967889,0.4990037343841876,0.8629629629629629
knn_cosine_k5,all,3,1351,342,0.631578947368421,0.5716783216783218,0.5856258555300314,0.5716783216783218,0.5748744738456284,0.8654970760233918
knn_cosine_k5,all,4,1356,337,0.4896142433234421,0.5010737653151446,0.5179043782304652,0.5010737653151446,0.48135157751193214,0.8011869436201781
knn_cosine_k7,all,0,1193,500,0.786,0.6140307367051554,0.6710230214712036,0.6140307367051554,0.6277802393172413,0.94
knn_cosine_k7,all,1,1449,244,0.6270491803278688,0.5742220570127546,0.5792257282550638,0.5742220570127546,0.5466723875468716,0.9221311475409836
knn_cosine_k7,all,2,1423,270,0.5518518518518518,0.49539063711981945,0.5090481189078389,0.49539063711981945,0.48378598106189524,0.8777777777777778
knn_cosine_k7,all,3,1351,342,0.6198830409356725,0.562021312021312,0.5730312552371376,0.562021312021312,0.5651714400008232,0.868421052631579
knn_cosine_k7,all,4,1356,337,0.47477744807121663,0.47720626499936836,0.4979126411025163,0.47720626499936836,0.4583536583536583,0.8219584569732937
