selection_rank,model_name,feature_name,fold_count,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_macro_f1,std_macro_f1,mean_top_3_accuracy,std_top_3_accuracy
1,knn_cosine_k5,all,5,0.614700568921615,0.1088791803115605,0.5506945040105606,0.04607387457828842,0.5716942254928183,0.0638729367582736,0.5506945040105606,0.04607387457828842,0.5436595637333004,0.05850025389149374,0.8755162817672082,0.05166991370317022
2,knn_cosine_k7,all,5,0.611912304237322,0.11512212015257915,0.544574201571682,0.05693212879878449,0.5660481529947521,0.0691621050233496,0.544574201571682,0.05693212879878449,0.536352741256098,0.06734820173835886,0.8860576869847268,0.046635251542642274
3,logistic_regression,all,5,0.6109882081116916,0.09270315351573136,0.572960005276274,0.03135028066420673,0.58365817242577,0.06138094146414415,0.572960005276274,0.03135028066420673,0.5576646993432459,0.06126482804503811,0.9145867154143079,0.05526004112647061
4,knn_cosine_k3,all,5,0.6045655210383035,0.11388497943143412,0.5427369714033914,0.05674433671796389,0.5515418665541687,0.07085596485549686,0.5427369714033914,0.05674433671796389,0.5332273726622184,0.06985991435982188,0.8557389334708676,0.06382613456647442
5,linear_svm,color,5,0.5903428887168763,0.0660634272368226,0.5713405199124371,0.03734791112188421,0.5588855632052523,0.030992774447272803,0.5713405199124371,0.03734791112188421,0.5526947853542279,0.04343476310705507,0.8906074934326569,0.05747414788149382
