dimension,value,image_count,correct_count,error_count,accuracy,mean_uncalibrated_max_probability
cv_fold,0,500,482,18,0.964,0.940249706619288
cv_fold,1,244,239,5,0.9795081967213115,0.9335606760940272
cv_fold,2,270,262,8,0.9703703703703703,0.9595681083049625
cv_fold,3,342,305,37,0.8918128654970761,0.9129228451023822
cv_fold,4,337,300,37,0.8902077151335311,0.8413960307438488
named_source_cohort,src_global_bub_blue_fair_table,10,10,0,1.0,0.9734246499007769
named_source_cohort,src_global_bub_dark_cloth_closeups,13,13,0,1.0,0.996733347455621
named_source_cohort,src_global_bub_fair_vendor_a,23,23,0,1.0,0.9661102757237139
named_source_cohort,src_global_bub_leaf_stump,7,7,0,1.0,0.9880031201973403
named_source_cohort,src_global_bub_mesh_plate_pairs,10,7,3,0.7,0.8388782836556838
named_source_cohort,src_global_bub_museum_interior,30,23,7,0.7666666666666667,0.860299202544411
named_source_cohort,src_global_bub_vognik_watermark,33,33,0,1.0,0.9077340901557851
named_source_cohort,src_global_kos_huclia_watermark,6,6,0,1.0,0.9287833435364622
named_source_cohort,src_global_kos_museum_emblem,5,5,0,1.0,0.9776754537664628
named_source_cohort,src_global_kos_shop_camera_series,23,22,1,0.9565217391304348,0.8958665559200022
named_source_cohort,src_global_kos_textile_archive,26,26,0,1.0,0.8816608806381745
named_source_cohort,src_global_opn_gray_catalog_b,104,80,24,0.7692307692307693,0.8367448834542414
named_source_cohort,src_global_opn_museum_display_logo,31,31,0,1.0,0.9533878605873656
named_source_cohort,src_global_opn_roundmark_catalog,261,257,4,0.9846743295019157,0.9433623135734115
named_source_cohort,src_global_opn_shelf_figurines,38,30,8,0.7894736842105263,0.6583040043021909
named_source_cohort,src_global_opn_shop_cubbies,42,26,16,0.6190476190476191,0.6200789493861163
named_source_cohort,src_global_pet_gold_x_watermark,18,15,3,0.8333333333333334,0.8914747720320406
object_type,box_or_container,38,35,3,0.9210526315789473,0.8942742140869107
object_type,cup_or_mug,54,52,2,0.9629629629629629,0.9250416639834355
object_type,figurine_or_sculpture,115,108,7,0.9391304347826087,0.874425303661007
object_type,mixed_display_or_collection,29,19,10,0.6551724137931034,0.6690729211751855
object_type,other,14,12,2,0.8571428571428571,0.8634654503224372
object_type,painting_print_or_panel,3,3,0,1.0,0.9727333301271432
object_type,plate_or_bowl,38,32,6,0.8421052631578947,0.8199941898239502
object_type,textile_or_rug,4,4,0,1.0,0.9494216083847176
object_type,unreviewed,1345,1272,73,0.945724907063197,0.9293915519880505
object_type,vase_jug_or_vessel,53,51,2,0.9622641509433962,0.9221624323290875
motif_visibility,clear,329,302,27,0.9179331306990881,0.8734286359366038
motif_visibility,partial,12,8,4,0.6666666666666666,0.7849805970308786
motif_visibility,small,7,6,1,0.8571428571428571,0.8510995847396109
motif_visibility,unreviewed,1345,1272,73,0.945724907063197,0.9293915519880505
contract_slice,hard_three_opishnyan_pooled,184,136,48,0.7391304347826086,0.7504366082442459
contract_slice,challenging_opishnyan,209,150,59,0.7177033492822966,0.7478413584397003
contract_slice,large_named_sources_pooled,611,551,60,0.9018003273322422,0.8762123969127352
