scope,outer_fold,stage,configuration_id,base_configuration_id,correction_configuration_id,feature_family,correction,c_value,source_group_exponent,blend_weight,combined_view_count,is_exact_reference,eligible,eligibility_failures,eligible_selection_rank,selected,evaluated_examples,fit_count,maximum_iterations,accuracy,macro_f1,balanced_accuracy,source_group_balanced_accuracy,ceramic_worst_group_recall,robustness_score,minimum_fold_source_group_balanced_accuracy,boundary_score,minimum_fold_boundary_score,opishnyan_recall,bubnivka_recall,bubnivka_precision,ceramic_macro_f1,per_class_recall_json,per_class_group_recall_json
outer_inner_oof,0,correction,pair_global_cls__c10__source0p5__blend0p75,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0p5__blend0p75,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.5,0.75,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,42,0.8985750209555742,0.8853291859097817,0.8927696676961382,0.887829311021308,0.5658629914026471,0.6911913187567412,,0.7598263747658666,0.5946205836568208,0.6458333333333334,0.888235294117647,0.7259615384615384,0.8246319508146477,"{""01_opishnyan_ceramics"":0.6458333333333334,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.5658629914026471,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9282234105763517,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c10__source0p5__blend1,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c10__source0p5__blend1,pair_global_cls,pairwise_conditional_logit_blend,10.0,0.5,1.0,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,42,0.8977367979882649,0.8843968349730675,0.8905637853431971,0.8839362864455105,0.5679070782681624,0.691525940072028,,0.7607819204120557,0.5828127055930264,0.6583333333333333,0.8647058823529412,0.7313432835820896,0.8230780325867905,"{""01_opishnyan_ceramics"":0.6583333333333333,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8647058823529412,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.5679070782681624,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9067142008318477,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0__blend0p25,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0__blend0p25,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.0,0.25,8,False,True,,9,False,1193,4,49,0.8994132439228835,0.8862877201266148,0.8942892755392755,0.8952510584412721,0.6003573494174999,0.7187316542015132,,0.7606073688939777,0.6059337040381864,0.6416666666666667,0.9,0.7251184834123223,0.8262295078427028,"{""01_opishnyan_ceramics"":0.6416666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6003573494174999,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.930837789661319,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0__blend0p5,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0__blend0p5,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.0,0.5,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,49,0.8968985750209556,0.8832989685511284,0.8914461382843735,0.8807988214061071,0.528749759012917,0.6608103772044419,,0.7522299390709678,0.5974371256932647,0.6333333333333333,0.8941176470588236,0.7136150234741784,0.82045305018455,"{""01_opishnyan_ceramics"":0.6333333333333333,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8941176470588236,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.528749759012917,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9301841948900772,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0__blend0p75,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0__blend0p75,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.0,0.75,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,49,0.8943839061190276,0.8802903633541795,0.8882598637745696,0.8732148910292897,0.49213729667131323,0.6294956272169163,,0.7459340469505734,0.5857157993123854,0.6291666666666667,0.8823529411764706,0.7075471698113207,0.8154387081896349,"{""01_opishnyan_ceramics"":0.6291666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8823529411764706,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.49213729667131323,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9288770053475934,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0__blend1,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0__blend1,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.0,1.0,8,False,False,accuracy_drop|macro_f1_drop|source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,49,0.8918692372170998,0.8772077909071558,0.8857598637745696,0.8730207306145411,0.49110707689109345,0.6286018901138236,,0.737681077977842,0.5763059449895027,0.6166666666666667,0.8823529411764706,0.6976744186046512,0.8103010874445958,"{""01_opishnyan_ceramics"":0.6166666666666667,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8823529411764706,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.49110707689109345,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9289364230540701,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0p5__blend0p25,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0p5__blend0p25,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.5,0.25,8,False,True,,6,False,1193,4,51,0.8994132439228835,0.886355437351488,0.8936030010294717,0.8948068807702036,0.6020580296896086,0.719805326218417,,0.762587105154732,0.6059337040381864,0.65,0.888235294117647,0.7294685990338164,0.8263423698841583,"{""01_opishnyan_ceramics"":0.65,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.6020580296896086,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9269162210338681,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0p5__blend0p5,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0p5__blend0p5,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.5,0.5,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,51,0.8985750209555742,0.8853606530399128,0.8927696676961382,0.8876461217297453,0.5662542344873172,0.691427542481008,,0.7607945922689128,0.6059337040381864,0.6458333333333334,0.888235294117647,0.7294685990338164,0.8246843960315328,"{""01_opishnyan_ceramics"":0.6458333333333334,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.5662542344873172,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9269162210338681,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0p5__blend0p75,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0p5__blend0p75,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.5,0.75,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,51,0.8968985750209556,0.8833016350748293,0.8911030010294716,0.8873519844631546,0.5634763586118788,0.6892639882573123,,0.7552565997734635,0.6037462767830587,0.6375,0.888235294117647,0.722488038277512,0.8212526994230606,"{""01_opishnyan_ceramics"":0.6375,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.5634763586118788,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9282234105763517,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
outer_inner_oof,0,correction,pair_global_cls__c100__source0p5__blend1,three_view_cls_logit_ensemble__c100__source0p5,pair_global_cls__c100__source0p5__blend1,pair_global_cls,pairwise_conditional_logit_blend,100.0,0.5,1.0,8,False,False,source_robustness_drop|opishnyan_group_recall_drop,,False,1193,4,51,0.8952221290863369,0.8812777031014318,0.8890931971079029,0.8832424459108914,0.5625365089878187,0.6873196216186235,,0.7507101625169634,0.6037462767830587,0.6333333333333333,0.8823529411764706,0.7177033492822966,0.8178794794673978,"{""01_opishnyan_ceramics"":0.6333333333333333,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8823529411764706,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.5625365089878187,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9086155674390968,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9815152304087478}"
