evaluation_scope,class_index,class_name,precision,recall,f1,support
nested_outer_oof_v2,0,01_opishnyan_ceramics,0.9501084598698482,0.874251497005988,0.9106029106029107,501
nested_outer_oof_v2,1,02_ornek,0.9665178571428571,0.9863325740318907,0.9763246899661782,439
nested_outer_oof_v2,2,03_bubnivka_ceramics,0.7974683544303798,0.8873239436619719,0.84,213
nested_outer_oof_v2,3,04_petrykivka_painting,0.9960474308300395,0.9692307692307692,0.9824561403508771,260
nested_outer_oof_v2,4,05_kosiv_ceramics,0.9387755102040817,0.9857142857142858,0.9616724738675958,280
