,01_opishnyan_ceramics,02_ornek,03_bubnivka_ceramics,04_petrykivka_painting,05_kosiv_ceramics
01_opishnyan_ceramics,143,21,9,8,18
02_ornek,5,102,9,30,19
03_bubnivka_ceramics,3,15,60,8,4
04_petrykivka_painting,3,7,4,84,4
05_kosiv_ceramics,18,23,5,19,50
