dimension,value,image_count,correct_count,error_count,accuracy,mean_uncalibrated_max_probability
cv_fold,0,500,492,8,0.984,0.9424469973971943
cv_fold,1,244,239,5,0.9795081967213115,0.9498166525720274
cv_fold,2,270,263,7,0.9740740740740741,0.9546283898392092
cv_fold,3,342,297,45,0.868421052631579,0.8881023787256358
cv_fold,4,337,309,28,0.9169139465875371,0.8715889220616369
named_source_cohort,src_global_bub_blue_fair_table,10,10,0,1.0,0.9404309295567058
named_source_cohort,src_global_bub_dark_cloth_closeups,13,13,0,1.0,0.9867637495390646
named_source_cohort,src_global_bub_fair_vendor_a,23,23,0,1.0,0.976625405793061
named_source_cohort,src_global_bub_leaf_stump,7,7,0,1.0,0.9960931541398851
named_source_cohort,src_global_bub_mesh_plate_pairs,10,7,3,0.7,0.8546352358137552
named_source_cohort,src_global_bub_museum_interior,30,20,10,0.6666666666666666,0.836636759791399
named_source_cohort,src_global_bub_vognik_watermark,33,33,0,1.0,0.9414058379091521
named_source_cohort,src_global_kos_huclia_watermark,6,5,1,0.8333333333333334,0.8398627720931625
named_source_cohort,src_global_kos_museum_emblem,5,5,0,1.0,0.9736702653828957
named_source_cohort,src_global_kos_shop_camera_series,23,22,1,0.9565217391304348,0.9216032871043823
named_source_cohort,src_global_kos_textile_archive,26,26,0,1.0,0.902111043738639
named_source_cohort,src_global_opn_gray_catalog_b,104,75,29,0.7211538461538461,0.8006994849949192
named_source_cohort,src_global_opn_museum_display_logo,31,31,0,1.0,0.9494766547392767
named_source_cohort,src_global_opn_roundmark_catalog,261,258,3,0.9885057471264368,0.9447191319967178
named_source_cohort,src_global_opn_shelf_figurines,38,29,9,0.7631578947368421,0.6900457451724531
named_source_cohort,src_global_opn_shop_cubbies,42,32,10,0.7619047619047619,0.6604930894450693
named_source_cohort,src_global_pet_gold_x_watermark,18,16,2,0.8888888888888888,0.8423115091761119
object_type,box_or_container,38,36,2,0.9473684210526315,0.8869732573116476
object_type,cup_or_mug,54,53,1,0.9814814814814815,0.934888166005366
object_type,figurine_or_sculpture,115,107,8,0.9304347826086956,0.8888134403644562
object_type,mixed_display_or_collection,29,22,7,0.7586206896551724,0.6877509978226163
object_type,other,14,13,1,0.9285714285714286,0.8447190820693986
object_type,painting_print_or_panel,3,3,0,1.0,0.9848255365081019
object_type,plate_or_bowl,38,31,7,0.8157894736842105,0.8427553385315258
object_type,textile_or_rug,4,4,0,1.0,0.981762556116534
object_type,unreviewed,1345,1279,66,0.9509293680297398,0.9310321118218868
object_type,vase_jug_or_vessel,53,52,1,0.9811320754716981,0.9220217145886569
motif_visibility,clear,329,307,22,0.9331306990881459,0.8827157602986445
motif_visibility,partial,12,8,4,0.6666666666666666,0.7856455864065852
motif_visibility,small,7,6,1,0.8571428571428571,0.8722121237323449
motif_visibility,unreviewed,1345,1279,66,0.9509293680297398,0.9310321118218868
contract_slice,hard_three_opishnyan_pooled,184,136,48,0.7391304347826086,0.7458434484386833
contract_slice,challenging_opishnyan,209,152,57,0.7272727272727273,0.7502729040491262
contract_slice,large_named_sources_pooled,611,549,62,0.8985270049099836,0.8781019750889827
