true_class,01_opishnyan_ceramics,02_ornek,03_bubnivka_ceramics,04_petrykivka_painting,05_kosiv_ceramics
01_opishnyan_ceramics,441,5,46,1,8
02_ornek,2,434,2,0,1
03_bubnivka_ceramics,18,0,194,0,1
04_petrykivka_painting,1,3,0,255,1
05_kosiv_ceramics,0,2,1,1,276
