true_class,01_opishnyan_ceramics,02_ornek,03_bubnivka_ceramics,04_petrykivka_painting,05_kosiv_ceramics
01_opishnyan_ceramics,417,5,61,0,18
02_ornek,2,430,2,1,4
03_bubnivka_ceramics,14,3,193,0,3
04_petrykivka_painting,2,4,0,251,3
05_kosiv_ceramics,1,2,2,1,274
