accuracy_rank,selected,within_half_point_of_best,representation,metric_status,c_value,fold_count,aggregate_accuracy,aggregate_macro_f1,aggregate_balanced_accuracy,aggregate_top_3_accuracy,worst_class_recall,all_folds_converged,max_fold_iterations,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_macro_f1,std_macro_f1,mean_top_3_accuracy,std_top_3_accuracy
1,True,True,dinov3_vits16__cls__center_crop,exploratory_selection_conditional,10.0,5,0.9243945658594211,0.9207396621966298,0.9323787041460347,0.9952746603662138,0.8323353293413174,True,50,0.9244954157702147,0.06424660821764798,0.9248548622710352,0.03985104704258381,0.9175061654473378,0.05696323708326807,0.9248548622710352,0.03985104704258381,0.9134624333048809,0.056152309696878754,0.9948258543425256,0.004730778326278459
2,False,True,dinov3_vits16__cls_patch_concat__center_crop,exploratory_selection_conditional,10.0,5,0.9232132309509746,0.920298695951616,0.9325130500666976,0.9940933254577673,0.8283433133732535,True,53,0.9223112050258016,0.06786421652851272,0.917055700424239,0.039413906074893965,0.9152445209081959,0.05689059106851398,0.917055700424239,0.039413906074893965,0.9072334663936916,0.05852770310201545,0.993647587210799,0.005981183872523166
3,False,False,dinov3_vits16__patch_mean__center_crop,exploratory_selection_conditional,10.0,5,0.896042528056704,0.894566963844935,0.9076176257870952,0.9746012994683992,0.780439121756487,True,66,0.8941780459429072,0.09326376781041185,0.8910388255577795,0.05092043272067476,0.8841638222735376,0.07134565985899027,0.8910388255577795,0.05092043272067476,0.8733929845524113,0.0817390061342347,0.9739879808920018,0.03749559547487353
